code,name,symbol,mkt,board,limit,is_st,is_delisting
920000,安徽凤凰,bj920000,bj,北交所,0.3,False,False
920001,纬达光电,bj920001,bj,北交所,0.3,False,False
920002,万达轴承,bj920002,bj,北交所,0.3,False,False
920003,中诚咨询,bj920003,bj,北交所,0.3,False,False
920005,鼎佳精密,bj920005,bj,北交所,0.3,False,False
920006,晟楠科技,bj920006,bj,北交所,0.3,False,False
920007,酉立智能,bj920007,bj,北交所,0.3,False,False
920008,成电光信,bj920008,bj,北交所,0.3,False,False
920009,XD丹娜生,bj920009,bj,北交所,0.3,False,False
920010,凯添燃气,bj920010,bj,北交所,0.3,False,False
920011,晨光电机,bj920011,bj,北交所,0.3,False,False
920012,创达新材,bj920012,bj,北交所,0.3,False,False
920014,特瑞斯,bj920014,bj,北交所,0.3,False,False
920015,锦华新材,bj920015,bj,北交所,0.3,False,False
920016,中草香料,bj920016,bj,北交所,0.3,False,False
920017,星昊医药,bj920017,bj,北交所,0.3,False,False
920018,宏远股份,bj920018,bj,北交所,0.3,False,False
920019,铜冠矿建,bj920019,bj,北交所,0.3,False,False
920020,泰凯英,bj920020,bj,北交所,0.3,False,False
920021,流金科技,bj920021,bj,北交所,0.3,False,False
920022,世昌股份,bj920022,bj,北交所,0.3,False,False
920023,*ST田野,bj920023,bj,北交所,0.05,True,False
920025,N凯达,bj920025,bj,北交所,0.3,False,False
920026,卓兆点胶,bj920026,bj,北交所,0.3,False,False
920027,交大铁发,bj920027,bj,北交所,0.3,False,False
920028,新恒泰,bj920028,bj,北交所,0.3,False,False
920029,开发科技,bj920029,bj,北交所,0.3,False,False
920030,德众汽车,bj920030,bj,北交所,0.3,False,False
920033,XD康普化,bj920033,bj,北交所,0.3,False,False
920035,精创电气,bj920035,bj,北交所,0.3,False,False
920036,觅睿科技,bj920036,bj,北交所,0.3,False,False
920037,广信科技,bj920037,bj,北交所,0.3,False,False
920038,森合高科,bj920038,bj,北交所,0.3,False,False
920039,国义招标,bj920039,bj,北交所,0.3,False,False
920045,蘅东光,bj920045,bj,北交所,0.3,False,False
920046,亿能电力,bj920046,bj,北交所,0.3,False,False
920047,诺思兰德,bj920047,bj,北交所,0.3,False,False
920050,爱伦医疗,bj920050,bj,北交所,0.3,False,False
920055,XD隆源股,bj920055,bj,北交所,0.3,False,False
920056,能之光,bj920056,bj,北交所,0.3,False,False
920057,百甲科技,bj920057,bj,北交所,0.3,False,False
920058,华洋赛车,bj920058,bj,北交所,0.3,False,False
920059,双英集团,bj920059,bj,北交所,0.3,False,False
920060,万源通,bj920060,bj,北交所,0.3,False,False
920061,西磁科技,bj920061,bj,北交所,0.3,False,False
920062,科润智控,bj920062,bj,北交所,0.3,False,False
920065,千岸科技,bj920065,bj,北交所,0.3,False,False
920066,科拜尔,bj920066,bj,北交所,0.3,False,False
920068,天工股份,bj920068,bj,北交所,0.3,False,False
920069,普昂医疗,bj920069,bj,北交所,0.3,False,False
920071,金钛股份,bj920071,bj,北交所,0.3,False,False
920072,科莱瑞迪,bj920072,bj,北交所,0.3,False,False
920075,柏星龙,bj920075,bj,北交所,0.3,False,False
920076,国亮新材,bj920076,bj,北交所,0.3,False,False
920077,吉林碳谷,bj920077,bj,北交所,0.3,False,False
920078,族兴新材,bj920078,bj,北交所,0.3,False,False
920079,乔路铭,bj920079,bj,北交所,0.3,False,False
920080,奥美森,bj920080,bj,北交所,0.3,False,False
920081,欧伦电气,bj920081,bj,北交所,0.3,False,False
920082,方正阀门,bj920082,bj,北交所,0.3,False,False
920083,金戈新材,bj920083,bj,北交所,0.3,False,False
920086,科马材料,bj920086,bj,北交所,0.3,False,False
920087,秋乐种业,bj920087,bj,北交所,0.3,False,False
920088,科力股份,bj920088,bj,北交所,0.3,False,False
920089,禾昌聚合,bj920089,bj,北交所,0.3,False,False
920090,*ST同辉,bj920090,bj,北交所,0.05,True,False
920091,大鹏工业,bj920091,bj,北交所,0.3,False,False
920092,汉鑫科技,bj920092,bj,北交所,0.3,False,False
920093,信胜科技,bj920093,bj,北交所,0.3,False,False
920096,嘉晨智能,bj920096,bj,北交所,0.3,False,False
920098,科隆新材,bj920098,bj,北交所,0.3,False,False
920099,瑞华技术,bj920099,bj,北交所,0.3,False,False
920100,三协电机,bj920100,bj,北交所,0.3,False,False
920101,志高机械,bj920101,bj,北交所,0.3,False,False
920106,林泰新材,bj920106,bj,北交所,0.3,False,False
920107,恒兴股份,bj920107,bj,北交所,0.3,False,False
920108,宏海科技,bj920108,bj,北交所,0.3,False,False
920110,雷特科技,bj920110,bj,北交所,0.3,False,False
920111,聚星科技,bj920111,bj,北交所,0.3,False,False
920112,巴兰仕,bj920112,bj,北交所,0.3,False,False
920116,星图测控,bj920116,bj,北交所,0.3,False,False
920117,龙鑫智能,bj920117,bj,北交所,0.3,False,False
920118,太湖远大,bj920118,bj,北交所,0.3,False,False
920119,美德乐,bj920119,bj,北交所,0.3,False,False
920121,江天科技,bj920121,bj,北交所,0.3,False,False
920122,中纺标,bj920122,bj,北交所,0.3,False,False
920123,芭薇股份,bj920123,bj,北交所,0.3,False,False
920124,南特科技,bj920124,bj,北交所,0.3,False,False
920125,鸿仕达,bj920125,bj,北交所,0.3,False,False
920126,永大股份,bj920126,bj,北交所,0.3,False,False
920128,胜业电气,bj920128,bj,北交所,0.3,False,False
920130,立方控股,bj920130,bj,北交所,0.3,False,False
920132,泰鹏智能,bj920132,bj,北交所,0.3,False,False
920136,永励精密,bj920136,bj,北交所,0.3,False,False
920138,杰理科技,bj920138,bj,北交所,0.3,False,False
920139,华岭股份,bj920139,bj,北交所,0.3,False,False
920145,恒合股份,bj920145,bj,北交所,0.3,False,False
920146,华阳变速,bj920146,bj,北交所,0.3,False,False
920149,旭杰科技,bj920149,bj,北交所,0.3,False,False
920152,昆工科技,bj920152,bj,北交所,0.3,False,False
920156,海昌智能,bj920156,bj,北交所,0.3,False,False
920158,长江能科,bj920158,bj,北交所,0.3,False,False
920159,农大科技,bj920159,bj,北交所,0.3,False,False
920160,北矿检测,bj920160,bj,北交所,0.3,False,False
920161,龙辰科技,bj920161,bj,北交所,0.3,False,False
920163,方大新材,bj920163,bj,北交所,0.3,False,False
920165,珈凯生物,bj920165,bj,北交所,0.3,False,False
920166,海圣医疗,bj920166,bj,北交所,0.3,False,False
920167,同享科技,bj920167,bj,北交所,0.3,False,False
920168,通宝光电,bj920168,bj,北交所,0.3,False,False
920169,七丰精工,bj920169,bj,北交所,0.3,False,False
920171,志晟信息,bj920171,bj,北交所,0.3,False,False
920174,五新智能,bj920174,bj,北交所,0.3,False,False
920175,东方碳素,bj920175,bj,北交所,0.3,False,False
920176,维琪科技,bj920176,bj,北交所,0.3,False,False
920177,恒道科技,bj920177,bj,北交所,0.3,False,False
920178,锐翔智能,bj920178,bj,北交所,0.3,False,False
920179,凯德石英,bj920179,bj,北交所,0.3,False,False
920180,爱得科技,bj920180,bj,北交所,0.3,False,False
920181,赛英电子,bj920181,bj,北交所,0.3,False,False
920183,海菲曼,bj920183,bj,北交所,0.3,False,False
920184,国源科技,bj920184,bj,北交所,0.3,False,False
920185,贝特瑞,bj920185,bj,北交所,0.3,False,False
920186,中科仪,bj920186,bj,北交所,0.3,False,False
920187,通领科技,bj920187,bj,北交所,0.3,False,False
920188,悦龙科技,bj920188,bj,北交所,0.3,False,False
920189,康美特,bj920189,bj,北交所,0.3,False,False
920190,雷神科技,bj920190,bj,北交所,0.3,False,False
920191,瑞尔竞达,bj920191,bj,北交所,0.3,False,False
920193,吉和昌,bj920193,bj,北交所,0.3,False,False
920195,三祥科技,bj920195,bj,北交所,0.3,False,False
920198,微创光电,bj920198,bj,北交所,0.3,False,False
920199,倍益康,bj920199,bj,北交所,0.3,False,False
920200,振宏股份,bj920200,bj,北交所,0.3,False,False
920204,沪江材料,bj920204,bj,北交所,0.3,False,False
920206,彩客科技,bj920206,bj,北交所,0.3,False,False
920207,众诚科技,bj920207,bj,北交所,0.3,False,False
920208,青矩技术,bj920208,bj,北交所,0.3,False,False
920211,新睿电子,bj920211,bj,北交所,0.3,False,False
920212,智新电子,bj920212,bj,北交所,0.3,False,False
920218,新天力,bj920218,bj,北交所,0.3,False,False
920220,朗信电气,bj920220,bj,北交所,0.3,False,False
920221,易实精密,bj920221,bj,北交所,0.3,False,False
920222,益坤电气,bj920222,bj,北交所,0.3,False,False
920223,荣亿精密,bj920223,bj,北交所,0.3,False,False
920225,利通科技,bj920225,bj,北交所,0.3,False,False
920227,美登科技,bj920227,bj,北交所,0.3,False,False
920229,世纪数码,bj920229,bj,北交所,0.3,False,False
920230,欧康医药,bj920230,bj,北交所,0.3,False,False
920237,力佳科技,bj920237,bj,北交所,0.3,False,False
920238,长鹰硬科,bj920238,bj,北交所,0.3,False,False
920239,长虹能源,bj920239,bj,北交所,0.3,False,False
920242,建邦科技,bj920242,bj,北交所,0.3,False,False
920245,威博液压,bj920245,bj,北交所,0.3,False,False
920247,华密新材,bj920247,bj,北交所,0.3,False,False
920249,利尔达,bj920249,bj,北交所,0.3,False,False
920252,天宏锂电,bj920252,bj,北交所,0.3,False,False
920258,聚仁新材,bj920258,bj,北交所,0.3,False,False
920260,中寰股份,bj920260,bj,北交所,0.3,False,False
920261,一诺威,bj920261,bj,北交所,0.3,False,False
920262,太湖雪,bj920262,bj,北交所,0.3,False,False
920263,中航泰达,bj920263,bj,北交所,0.3,False,False
920266,生物谷,bj920266,bj,北交所,0.3,False,False
920267,鑫汇科,bj920267,bj,北交所,0.3,False,False
920268,百迈科,bj920268,bj,北交所,0.3,False,False
920269,杰锋动力,bj920269,bj,北交所,0.3,False,False
920270,天铭科技,bj920270,bj,北交所,0.3,False,False
920271,邦德股份,bj920271,bj,北交所,0.3,False,False
920273,一致魔芋,bj920273,bj,北交所,0.3,False,False
920274,宏裕包材,bj920274,bj,北交所,0.3,False,False
920275,驱动力,bj920275,bj,北交所,0.3,False,False
920278,鹿得医疗,bj920278,bj,北交所,0.3,False,False
920284,灵鸽科技,bj920284,bj,北交所,0.3,False,False
920288,华大海天,bj920288,bj,北交所,0.3,False,False
920289,华汇智能,bj920289,bj,北交所,0.3,False,False
920298,腾信精密,bj920298,bj,北交所,0.3,False,False
920299,灿能电力,bj920299,bj,北交所,0.3,False,False
920300,辰光医疗,bj920300,bj,北交所,0.3,False,False
920304,迪尔化工,bj920304,bj,北交所,0.3,False,False
920339,恒太照明,bj920339,bj,北交所,0.3,False,False
920344,三元基因,bj920344,bj,北交所,0.3,False,False
920346,威贸电子,bj920346,bj,北交所,0.3,False,False
920351,华光源海,bj920351,bj,北交所,0.3,False,False
920357,雅葆轩,bj920357,bj,北交所,0.3,False,False
920363,莱赛激光,bj920363,bj,北交所,0.3,False,False
920367,新赣江,bj920367,bj,北交所,0.3,False,False
920368,连城数控,bj920368,bj,北交所,0.3,False,False
920370,新安洁,bj920370,bj,北交所,0.3,False,False
920371,欧福蛋业,bj920371,bj,北交所,0.3,False,False
920374,云里物里,bj920374,bj,北交所,0.3,False,False
920375,派诺科技,bj920375,bj,北交所,0.3,False,False
920378,泰德股份,bj920378,bj,北交所,0.3,False,False
920392,佳合科技,bj920392,bj,北交所,0.3,False,False
920394,民士达,bj920394,bj,北交所,0.3,False,False
920395,朗鸿科技,bj920395,bj,北交所,0.3,False,False
920396,常辅股份,bj920396,bj,北交所,0.3,False,False
920402,硅烷科技,bj920402,bj,北交所,0.3,False,False
920403,康农种业,bj920403,bj,北交所,0.3,False,False
920405,海希通讯,bj920405,bj,北交所,0.3,False,False
920407,驰诚股份,bj920407,bj,北交所,0.3,False,False
920414,欧普泰,bj920414,bj,北交所,0.3,False,False
920415,恒拓开源,bj920415,bj,北交所,0.3,False,False
920418,苏轴股份,bj920418,bj,北交所,0.3,False,False
920419,路斯股份,bj920419,bj,北交所,0.3,False,False
920422,润普食品,bj920422,bj,北交所,0.3,False,False
920425,乐创技术,bj920425,bj,北交所,0.3,False,False
920427,华维设计,bj920427,bj,北交所,0.3,False,False
920429,康比特,bj920429,bj,北交所,0.3,False,False
920433,大唐药业,bj920433,bj,北交所,0.3,False,False
920436,大地电气,bj920436,bj,北交所,0.3,False,False
920438,戈碧迦,bj920438,bj,北交所,0.3,False,False
920445,龙竹科技,bj920445,bj,北交所,0.3,False,False
920454,同心传动,bj920454,bj,北交所,0.3,False,False
920455,汇隆活塞,bj920455,bj,北交所,0.3,False,False
920469,富恒新材,bj920469,bj,北交所,0.3,False,False
920471,美邦科技,bj920471,bj,北交所,0.3,False,False
920475,三友科技,bj920475,bj,北交所,0.3,False,False
920476,海能技术,bj920476,bj,北交所,0.3,False,False
920478,峆一药业,bj920478,bj,北交所,0.3,False,False
920489,佳先股份,bj920489,bj,北交所,0.3,False,False
920491,奥迪威,bj920491,bj,北交所,0.3,False,False
920493,并行科技,bj920493,bj,北交所,0.3,False,False
920496,许昌智能,bj920496,bj,北交所,0.3,False,False
920504,博迅生物,bj920504,bj,北交所,0.3,False,False
920505,九菱科技,bj920505,bj,北交所,0.3,False,False
920508,殷图网联,bj920508,bj,北交所,0.3,False,False
920509,同惠电子,bj920509,bj,北交所,0.3,False,False
920510,丰光精密,bj920510,bj,北交所,0.3,False,False
920519,万德股份,bj920519,bj,北交所,0.3,False,False
920522,纳科诺尔,bj920522,bj,北交所,0.3,False,False
920523,德瑞锂电,bj920523,bj,北交所,0.3,False,False
920526,凯华材料,bj920526,bj,北交所,0.3,False,False
920527,夜光明,bj920527,bj,北交所,0.3,False,False
920533,骏创科技,bj920533,bj,北交所,0.3,False,False
920541,铁大科技,bj920541,bj,北交所,0.3,False,False
920547,无锡晶海,bj920547,bj,北交所,0.3,False,False
920553,凯腾精工,bj920553,bj,北交所,0.3,False,False
920556,雅达股份,bj920556,bj,北交所,0.3,False,False
920564,天润科技,bj920564,bj,北交所,0.3,False,False
920566,梓橦宫,bj920566,bj,北交所,0.3,False,False
920570,坤博精工,bj920570,bj,北交所,0.3,False,False
920571,国航远洋,bj920571,bj,北交所,0.3,False,False
920575,*ST康乐,bj920575,bj,北交所,0.05,True,False
920576,天力复合,bj920576,bj,北交所,0.3,False,False
920578,巨能股份,bj920578,bj,北交所,0.3,False,False
920579,机科股份,bj920579,bj,北交所,0.3,False,False
920580,科创新材,bj920580,bj,北交所,0.3,False,False
920592,华信永道,bj920592,bj,北交所,0.3,False,False
920593,鼎智科技,bj920593,bj,北交所,0.3,False,False
920599,同力股份,bj920599,bj,北交所,0.3,False,False
920608,丰安股份,bj920608,bj,北交所,0.3,False,False
920627,力王股份,bj920627,bj,北交所,0.3,False,False
920634,新威凌,bj920634,bj,北交所,0.3,False,False
920639,晨光电缆,bj920639,bj,北交所,0.3,False,False
920640,富士达,bj920640,bj,北交所,0.3,False,False
920641,格利尔,bj920641,bj,北交所,0.3,False,False
920642,通易航天,bj920642,bj,北交所,0.3,False,False
920651,天罡股份,bj920651,bj,北交所,0.3,False,False
920656,海昇药业,bj920656,bj,北交所,0.3,False,False
920662,方盛股份,bj920662,bj,北交所,0.3,False,False
920663,明阳科技,bj920663,bj,北交所,0.3,False,False
920665,科强股份,bj920665,bj,北交所,0.3,False,False
920670,数字人,bj920670,bj,北交所,0.3,False,False
920675,秉扬科技,bj920675,bj,北交所,0.3,False,False
920679,前进科技,bj920679,bj,北交所,0.3,False,False
920682,球冠电缆,bj920682,bj,北交所,0.3,False,False
920685,新芝生物,bj920685,bj,北交所,0.3,False,False
920689,克莱特,bj920689,bj,北交所,0.3,False,False
920690,捷众科技,bj920690,bj,北交所,0.3,False,False
920693,阿为特,bj920693,bj,北交所,0.3,False,False
920694,中裕科技,bj920694,bj,北交所,0.3,False,False
920699,海达尔,bj920699,bj,北交所,0.3,False,False
920701,豪声电子,bj920701,bj,北交所,0.3,False,False
920703,广厦环能,bj920703,bj,北交所,0.3,False,False
920706,铁拓机械,bj920706,bj,北交所,0.3,False,False
920717,瑞星股份,bj920717,bj,北交所,0.3,False,False
920718,合肥高科,bj920718,bj,北交所,0.3,False,False
920719,宁新新材,bj920719,bj,北交所,0.3,False,False
920720,吉冈精密,bj920720,bj,北交所,0.3,False,False
920725,惠丰钻石,bj920725,bj,北交所,0.3,False,False
920726,朱老六,bj920726,bj,北交所,0.3,False,False
920729,永顺生物,bj920729,bj,北交所,0.3,False,False
920735,德源药业,bj920735,bj,北交所,0.3,False,False
920748,路桥信息,bj920748,bj,北交所,0.3,False,False
920751,惠同新材,bj920751,bj,北交所,0.3,False,False
920753,天纺标,bj920753,bj,北交所,0.3,False,False
920765,美之高,bj920765,bj,北交所,0.3,False,False
920768,拾比佰,bj920768,bj,北交所,0.3,False,False
920770,艾能聚,bj920770,bj,北交所,0.3,False,False
920779,武汉蓝电,bj920779,bj,北交所,0.3,False,False
920781,瑞奇智造,bj920781,bj,北交所,0.3,False,False
920786,骑士乳业,bj920786,bj,北交所,0.3,False,False
920790,联迪信息,bj920790,bj,北交所,0.3,False,False
920792,东和新材,bj920792,bj,北交所,0.3,False,False
920799,艾融软件,bj920799,bj,北交所,0.3,False,False
920802,保丽洁,bj920802,bj,北交所,0.3,False,False
920806,云星宇,bj920806,bj,北交所,0.3,False,False
920807,奔朗新材,bj920807,bj,北交所,0.3,False,False
920808,曙光数创,bj920808,bj,北交所,0.3,False,False
920809,安达科技,bj920809,bj,北交所,0.3,False,False
920810,春光智能,bj920810,bj,北交所,0.3,False,False
