vol,stab,rng,n_is,avg_is,t_is,n_oos,avg_oos,t_oos,win_oos
A,A,D2-D6,41458,-0.0011977329300272177,-5.3570674556012845,80599,0.0006620949736824594,4.115733745018036,0.3909477785084182
A,B,D2-D6,20938,0.0014667486191388016,4.6554603013376985,40287,0.0017823900641938623,7.847771509067596,0.40720331620622036
A,C,D2-D6,54419,-0.0005796073839865511,-2.9741948193897016,104984,0.0002551099309186914,1.8095971144843832,0.3866874952373695
A,D,D2-D6,23118,0.00014443091325605604,0.48196171420353173,44032,0.0014222599728422802,6.468289079944452,0.398914425872093
A,E,D2-D6,28599,0.0006200314430953898,2.306999257292319,60307,0.0016849750138749169,9.05217863743849,0.401495680435107
B,A,D2-D6,5991,-0.003115770574444583,-5.301750524121221,12313,0.0006947065894555127,1.6842317724853033,0.39251197920896613
B,B,D2-D6,2216,-0.0009639028069775027,-1.0045857867528643,4741,0.0017741123374266303,2.6591747784761512,0.40497785277367643
B,C,D2-D6,6053,-0.001313471939865861,-2.2556323890994796,13356,0.0015070761979857974,3.787642233592906,0.40139263252470797
B,D,D2-D6,3157,-0.002288541632964334,-2.8410424649173263,6360,0.00046634403227260277,0.8106147118605553,0.38852201257861635
B,E,D2-D6,2448,0.0025943703462485393,2.817537497635525,6222,0.0028122075019408484,4.860020505458664,0.4167470266795243
C,A,D2-D6,22086,-0.0033910287945402022,-11.3044283554958,29641,-0.002743475519449724,-10.543293268509816,0.3562632839647785
C,B,D2-D6,9278,-0.0027106994312111224,-5.911015703029856,12253,-0.0025568170605080962,-6.36682206543739,0.3605647596506978
C,C,D2-D6,20851,-0.0031244936540975117,-10.17459779194883,28070,-0.0023456809717775622,-8.739234482530229,0.36170288564303527
C,D,D2-D6,12504,-0.00314562400220223,-7.917904787539815,16194,-0.0024858060826250575,-7.098945678194352,0.36025688526614796
C,E,D2-D6,11511,-0.0024914042219155857,-6.04613296002801,16248,-0.0014610035791589615,-4.147300388596768,0.3682299359921221
D,A,D2-D6,63961,-0.002899617171511563,-16.383170916995727,105813,-0.0008273738181093187,-5.979067030931124,0.37626756636708153
D,B,D2-D6,29126,-0.0020395517472029633,-7.849334168370902,48594,-0.00023201072039896408,-1.139392811832356,0.3856443182285879
D,C,D2-D6,65889,-0.002824432939731099,-16.32533036114588,110178,-0.0007091347809726318,-5.217328706204064,0.378060955907713
D,D,D2-D6,36489,-0.0021843014391605053,-9.341247067408704,59101,-0.000267799417048073,-1.444060320637459,0.38319148576166223
D,E,D2-D6,40434,-0.0027543458627499948,-12.533822294005141,71986,0.000267648992165387,1.5926716426855434,0.38746422915566914
E,A,D2-D6,27847,-0.003041643041055301,-11.378982215661004,40622,-0.002285103020302496,-10.24174439116249,0.35987888336369456
E,B,D2-D6,12237,-0.0022059308505481077,-5.529044959701667,17036,-0.002101317660353446,-6.157781449946435,0.3644047898567739
E,C,D2-D6,26633,-0.003010007380651433,-11.090044368087087,37094,-0.002199529534550364,-9.408863344132868,0.36291583544508543
E,D,D2-D6,16271,-0.0030798061113367506,-8.865446400137163,23573,-0.0018593626863221261,-6.3651228674043265,0.365163534552242
E,E,D2-D6,19262,-0.0027449616742473244,-8.624817691751634,27774,-0.0011230280853943664,-4.143891764724279,0.3713905091092389
